Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP
2007-06-27,61.39501571655274,15.445958137512207,,11.279999732971193,32.78143310546875,8.437359809875487,40.47000122070313,14.579999923706055,39.14931106567383,17.17165184020996,14.8145170211792,25.35208511352539,52.431358337402344,48.2400016784668,5.941240787506104,31.237285614013672,64.80958557128906,11.4375,23.8799991607666,,11.636556625366213,44.09050369262695,263.40841674804693,262.162353515625,10.65257167816162,68.13999938964844,,27.659069061279297,27.971139907836914,26.27639579772949
2007-06-28,61.19771194458008,15.374406814575195,,11.020000457763672,32.68224334716797,8.455283164978027,40.41999816894531,14.489999771118164,38.958438873291016,16.89065933227539,14.729504585266113,25.34549331665039,51.70777893066406,49.20000076293945,6.260780334472656,31.39216613769531,64.20368957519531,11.364999771118164,24.40999984741211,,11.60962200164795,44.679931640625,262.76776123046875,261.52474975585943,10.610081672668457,68.88999938964844,,27.394737243652344,29.224987030029297,26.21754264831543
2007-06-29,61.15546798706055,15.32575511932373,,10.779999732971193,32.728012084960945,8.365668296813965,40.150001525878906,14.300000190734865,38.68165588378906,17.077987670898438,14.56515121459961,25.319150924682614,51.95990753173828,48.63999938964844,6.139575958251952,31.408483505249023,63.7624397277832,11.265000343322756,24.15999984741211,,11.62757968902588,44.75997924804688,261.61160278320307,260.37405395507807,10.643468856811523,68.41000366210939,,27.56345367431641,28.53678321838379,26.50590515136719
2007-07-02,62.00806045532226,15.546120643615724,,10.510000228881836,32.46094512939453,8.437359809875487,40.15999984741211,14.359999656677244,39.15885543823242,17.600940704345703,14.763507843017578,25.81973648071289,52.26378631591797,48.20000076293945,6.274003505706787,31.661195755004886,65.78421783447266,11.595000267028807,24.29999923706055,,11.828102111816404,44.92733383178711,265.4554443359375,264.19970703125,10.758792877197266,69.61000061035156,,28.193361282348636,28.94216346740723,26.9708194732666
2007-07-03,61.965782165527344,15.546120643615724,,10.390000343322754,32.216766357421875,8.450801849365233,40.709999084472656,14.359999656677244,39.368812561035156,17.561914443969727,14.80601406097412,26.13589286804199,52.31549453735352,48.09000015258789,6.326892852783202,31.97911071777344,66.25183868408203,11.670000076293945,24.35000038146973,,11.816131591796875,45.18202590942383,267.4374389648437,266.17233276367193,10.772448539733887,69.44999694824219,,28.20460319519043,30.97849082946777,27.082632064819336
2007-07-05,61.8389663696289,15.520367622375488,,10.8100004196167,32.66697311401367,8.40151309967041,40.93000030517578,14.1899995803833,39.62651443481445,17.390203475952152,14.667165756225586,26.06344223022461,52.4060173034668,48.1500015258789,6.278410911560059,32.90839385986328,67.29895782470703,11.482500076293945,24.5,,11.687435150146484,44.98555374145508,271.08609008789057,269.8037109375,10.798247337341307,68.73000335693361,,28.0358829498291,31.88351631164551,26.917858123779297
2007-07-06,62.08558654785156,15.454537391662598,,10.579999923706056,32.81195831298828,8.316380500793457,41.02000045776367,14.390000343322756,40.008262634277344,17.530691146850586,14.786177635192873,26.228105545043945,52.3995590209961,47.540000915527344,6.408430099487305,32.875789642333984,67.45703125,11.547499656677244,24.54999923706055,,11.660497665405273,44.9637336730957,269.969970703125,268.69287109375,10.865015029907227,68.97000122070311,,27.884033203125,32.63771438598633,26.747188568115234
2007-07-09,62.08558654785156,15.371539115905762,,10.59000015258789,32.71276092529297,8.244685173034668,40.72000122070313,14.56999969482422,39.569236755371094,17.577529907226562,14.650161743164062,26.26762962341309,52.87149429321289,47.52999877929688,6.2651872634887695,33.25891876220703,67.14749908447266,11.710000038146973,24.729999542236328,,11.690428733825685,44.869136810302734,271.55154418945307,270.2669677734375,10.880191802978516,72.06999969482422,,28.013385772705078,33.80670166015625,26.358781814575195
2007-07-10,61.45843887329102,15.145448684692385,,10.399999618530273,31.81997108459473,8.58970832824707,40.36000061035156,14.43000030517578,38.557594299316406,17.148242950439453,14.36679458618164,26.14906311035156,51.96639633178711,49.45000076293945,6.055834293365479,33.112197875976555,64.71080780029297,11.987500190734865,24.459999084472656,,11.57370376586914,44.33791732788086,271.94195556640625,270.655517578125,10.68747329711914,70.27999877929689,,27.675933837890625,31.8929386138916,26.264629364013672
2007-07-11,61.92350387573242,15.425894737243652,,10.15999984741211,32.17861557006836,8.625555038452147,40.84000015258789,14.649999618530273,38.17583084106445,17.257509231567386,14.519811630249025,26.274213790893555,53.2335433959961,50.31999969482422,6.020573616027832,33.307823181152344,64.28931427001953,11.914999961853027,25.739999771118164,,11.675460815429688,44.35248565673828,272.50750732421875,271.21841430664057,10.757275581359863,70.7300033569336,,27.81655120849609,32.74141311645508,26.44705581665039
